Provider,Storage Price ($/TB),Download Price ($/TB),URL,Notes
Akamai Linode,20,5,null,$0.005/GB for download
Alibaba Cloud,17.3,94,https://www.alibabacloud.com/en/product/oss/pricing?_p_lc=1#tab1-1,"$0.094/GB for download (best case during peak), assuming Beijing <-"
Amazon AWS S3,21,50,https://aws.amazon.com/s3/pricing/,$0.05/GB for download (best case) <-
Backblaze B2,6,0,null,$0 for download bandwidth if through Worker (or $0.01/GB past a 1:3 upload:download ratio) <- decent data privacy record - no custom domains - has audit logging - has replication
Cloudflare R2,15,0,null,"$0.00/GB for download, $4.50 / million for uploads and $0.36 / million for downloads requests"
DigitalOcean,20,10,null,$0.01/GB for download
Google GCS,20,80,https://cloud.google.com/storage/pricing#network-egress,$0.08/GB for download (best case) <-
Hetzner,5.3,1.06,null,"$0.00106/GB for download after 1:1 ratio <- estimate, had to do EUR to USD conversion - min object size billed at 64 kilobytes"
IBM Storage,20.9,50,https://cloud.ibm.com/objectstorage/create#pricing,$0.05/GB for download (best case) <-
IDrive e2,5,0,null,$0 for download bandwidth - 1:3 upload:download ratio allowed <- questionable data privacy - custom domains offered - has audit logging - supports event notifications with AWS SQS - $0.01/GB overage on bandwidth - has replication
Oracle Cloud,25.5,8.5,https://www.oracle.com/cloud/storage/pricing/,"$0.0085/GB for download, $0 for download bandwidth if through Worker <-"
OVH Object,8,11,null,$0.011/GB for download
Scaleway,13,11,https://www.scaleway.com/en/pricing/storage/,"$0.011/GB for download <- estimate, had to do EUR to USD conversion"
Storj,4,7,null,$0.007/GB for download <- not good for small files due to segment pricing
Telnyx Cloud,23,0,https://telnyx.com/the-better-amazon-s3-alternative,$0.00/GB for download - does not supported presigned URLs due to crazy bad auth design choice <-
Vultr,18,10,https://www.vultr.com/products/object-storage/#pricing,$0.01/GB for download <-
Wasabi,6.9,0,null,$0 for download bandwidth - 1:1 and billed for 90 days <- has audit logging - no custom domains - min object size billed at 4 kilobytes
